Line,Band,Value
1,1,163
1,2,203
1,3,173
1,4,196
1,5,170
1,6,195
1,7,190
1,8,283
1,9,180
1,10,207
1,11,185
1,12,211
1,13,200
1,14,215
1,15,184
1,16,214
1,17,176
1,18,210
1,19,177
1,20,207
1,21,168
1,22,210
1,23,951
1,24,212
1,25,182
1,26,212
1,27,191
1,28,376
1,29,185
1,30,243
1,31,186
1,32,214
1,33,181
1,34,223
1,35,189
1,36,213
1,37,197
1,38,256
1,39,191
1,40,230
1,41,187
1,42,229
1,43,194
1,44,214
1,45,167
1,46,186
1,47,149
1,48,165
1,49,164
1,50,163
1,51,179
1,52,180
1,53,141
1,54,165
1,55,151
1,56,164
1,57,141
1,58,158
1,59,194
1,60,160
1,61,163
1,62,164
1,63,139
1,64,178
1,65,142
1,66,154
1,67,153
1,68,172
1,69,135
1,70,161
1,71,211
1,72,155
1,73,186
1,74,159
1,75,152
1,76,166
1,77,164
1,78,162
1,79,154
1,80,159
1,81,151
1,82,143
1,83,155
1,84,142
1,85,140
1,86,148
1,87,152
1,88,172
1,89,147
1,90,155
1,91,151
1,92,165
1,93,148
1,94,142
1,95,158
1,96,142
1,97,155
1,98,143
1,99,152
1,100,150
1,101,148
1,102,144
1,103,175
1,104,147
1,105,146
1,106,133
1,107,145
1,108,147
1,109,143
1,110,139
1,111,148
1,112,143
1,113,133
1,114,141
1,115,139
1,116,137
1,117,135
1,118,141
1,119,149
1,120,140
1,121,132
1,122,143
1,123,126
1,124,153
1,125,125
1,126,144
1,127,132
1,128,142
1,129,115
1,130,111
1,131,111
1,132,106
1,133,113
1,134,93
1,135,119
1,136,78
1,137,107
1,138,99
1,139,123
1,140,97
1,141,108
1,142,87
1,143,625
1,144,203
1,145,121
1,146,95
1,147,117
1,148,126
1,149,117
1,150,110
1,151,115
1,152,104
1,153,119
1,154,103
1,155,136
1,156,114
1,157,135
1,158,125
1,159,137
1,160,135
1,161,130
1,162,120
1,163,128
1,164,119
1,165,128
1,166,121
1,167,129
1,168,121
1,169,134
1,170,134
1,171,146
1,172,126
1,173,139
1,174,138
1,175,132
1,176,125
1,177,143
1,178,137
1,179,766
1,180,126
1,181,151
1,182,128
1,183,160
1,184,139
1,185,162
1,186,116
1,187,144
1,188,140
1,189,156
1,190,119
1,191,159
1,192,124
1,193,154
1,194,118
1,195,155
1,196,121
1,197,167
1,198,136
1,199,150
1,200,131
1,201,162
1,202,132
1,203,158
1,204,119
1,205,166
1,206,125
1,207,169
1,208,125
1,209,174
1,210,616
1,211,186
1,212,123
1,213,213
1,214,132
1,215,217
1,216,115
1,217,185
1,218,125
1,219,196
1,220,133
1,221,346
1,222,126
1,223,197
1,224,128
1,225,201
1,226,127
1,227,207
1,228,123
1,229,212
1,230,138
1,231,198
1,232,132
1,233,210
1,234,138
1,235,1382
1,236,143
1,237,219
1,238,178
1,239,224
1,240,157
1,241,227
1,242,172
1,243,237
1,244,174
1,245,306
1,246,198
1,247,243
1,248,183
1,249,253
1,250,192
1,251,261
1,252,211
1,253,255
1,254,233
1,255,246
1,256,180
2,1,163
2,2,203
2,3,173
2,4,196
2,5,170
2,6,195
2,7,190
2,8,283
2,9,180
2,10,207
2,11,185
2,12,211
2,13,200
2,14,215
2,15,184
2,16,214
2,17,176
2,18,210
2,19,177
2,20,207
2,21,168
2,22,210
2,23,951
2,24,212
2,25,182
2,26,212
2,27,191
2,28,376
2,29,185
2,30,243
2,31,186
2,32,214
2,33,181
2,34,223
2,35,189
2,36,213
2,37,197
2,38,256
2,39,191
2,40,230
2,41,187
2,42,229
2,43,194
2,44,214
2,45,167
2,46,186
2,47,149
2,48,165
2,49,164
2,50,163
2,51,179
2,52,180
2,53,141
2,54,165
2,55,151
2,56,164
2,57,141
2,58,158
2,59,194
2,60,160
2,61,163
2,62,164
2,63,139
2,64,178
2,65,142
2,66,154
2,67,153
2,68,172
2,69,135
2,70,161
2,71,211
2,72,155
2,73,186
2,74,159
2,75,152
2,76,166
2,77,164
2,78,162
2,79,154
2,80,159
2,81,151
2,82,143
2,83,155
2,84,142
2,85,140
2,86,148
2,87,152
2,88,172
2,89,147
2,90,155
2,91,151
2,92,165
2,93,148
2,94,142
2,95,158
2,96,142
2,97,155
2,98,143
2,99,152
2,100,150
2,101,148
2,102,144
2,103,175
2,104,147
2,105,146
2,106,133
2,107,145
2,108,147
2,109,143
2,110,139
2,111,148
2,112,143
2,113,133
2,114,141
2,115,139
2,116,137
2,117,135
2,118,141
2,119,149
2,120,140
2,121,132
2,122,143
2,123,126
2,124,153
2,125,125
2,126,144
2,127,132
2,128,142
2,129,115
2,130,111
2,131,111
2,132,106
2,133,113
2,134,93
2,135,119
2,136,78
2,137,107
2,138,99
2,139,123
2,140,97
2,141,108
2,142,87
2,143,625
2,144,203
2,145,121
2,146,95
2,147,117
2,148,126
2,149,117
2,150,110
2,151,115
2,152,104
2,153,119
2,154,103
2,155,136
2,156,114
2,157,135
2,158,125
2,159,137
2,160,135
2,161,130
2,162,120
2,163,128
2,164,119
2,165,128
2,166,121
2,167,129
2,168,121
2,169,134
2,170,134
2,171,146
2,172,126
2,173,139
2,174,138
2,175,132
2,176,125
2,177,143
2,178,137
2,179,766
2,180,126
2,181,151
2,182,128
2,183,160
2,184,139
2,185,162
2,186,116
2,187,144
2,188,140
2,189,156
2,190,119
2,191,159
2,192,124
2,193,154
2,194,118
2,195,155
2,196,121
2,197,167
2,198,136
2,199,150
2,200,131
2,201,162
2,202,132
2,203,158
2,204,119
2,205,166
2,206,125
2,207,169
2,208,125
2,209,174
2,210,616
2,211,186
2,212,123
2,213,213
2,214,132
2,215,217
2,216,115
2,217,185
2,218,125
2,219,196
2,220,133
2,221,346
2,222,126
2,223,197
2,224,128
2,225,201
2,226,127
2,227,207
2,228,123
2,229,212
2,230,138
2,231,198
2,232,132
2,233,210
2,234,138
2,235,1382
2,236,143
2,237,219
2,238,178
2,239,224
2,240,157
2,241,227
2,242,172
2,243,237
2,244,174
2,245,306
2,246,198
2,247,243
2,248,183
2,249,253
2,250,192
2,251,261
2,252,211
2,253,255
2,254,233
2,255,246
2,256,180
3,1,163
3,2,203
3,3,173
3,4,196
3,5,170
3,6,195
3,7,190
3,8,283
3,9,180
3,10,207
3,11,185
3,12,211
3,13,200
3,14,215
3,15,184
3,16,214
3,17,176
3,18,210
3,19,177
3,20,207
3,21,168
3,22,210
3,23,951
3,24,212
3,25,182
3,26,212
3,27,191
3,28,376
