Line,Band,Value
1,1,283
1,2,323
1,3,298
1,4,326
1,5,302
1,6,326
1,7,331
1,8,560
1,9,324
1,10,363
1,11,321
1,12,349
1,13,384
1,14,360
1,15,340
1,16,365
1,17,323
1,18,357
1,19,319
1,20,353
1,21,311
1,22,364
1,23,2398
1,24,359
1,25,333
1,26,360
1,27,352
1,28,810
1,29,341
1,30,453
1,31,361
1,32,389
1,33,358
1,34,407
1,35,376
1,36,406
1,37,413
1,38,529
1,39,406
1,40,434
1,41,393
1,42,437
1,43,410
1,44,416
1,45,334
1,46,340
1,47,281
1,48,251
1,49,266
1,50,230
1,51,317
1,52,340
1,53,247
1,54,276
1,55,280
1,56,271
1,57,244
1,58,268
1,59,392
1,60,265
1,61,277
1,62,263
1,63,237
1,64,315
1,65,238
1,66,251
1,67,255
1,68,283
1,69,242
1,70,252
1,71,415
1,72,243
1,73,333
1,74,247
1,75,255
1,76,279
1,77,258
1,78,250
1,79,239
1,80,264
1,81,233
1,82,226
1,83,235
1,84,229
1,85,215
1,86,227
1,87,226
1,88,282
1,89,220
1,90,234
1,91,232
1,92,272
1,93,218
1,94,222
1,95,233
1,96,216
1,97,233
1,98,218
1,99,233
1,100,222
1,101,216
1,102,213
1,103,275
1,104,215
1,105,212
1,106,202
1,107,211
1,108,214
1,109,210
1,110,203
1,111,210
1,112,207
1,113,195
1,114,211
1,115,198
1,116,205
1,117,197
1,118,205
1,119,223
1,120,203
1,121,191
1,122,207
1,123,180
1,124,222
1,125,178
1,126,199
1,127,187
1,128,193
1,129,164
1,130,191
1,131,163
1,132,171
1,133,157
1,134,139
1,135,166
1,136,116
1,137,142
1,138,137
1,139,158
1,140,134
1,141,139
1,142,125
1,143,1519
1,144,425
1,145,160
1,146,125
1,147,144
1,148,209
1,149,147
1,150,141
1,151,145
1,152,140
1,153,147
1,154,133
1,155,186
1,156,146
1,157,186
1,158,159
1,159,164
1,160,198
1,161,182
1,162,148
1,163,154
1,164,148
1,165,156
1,166,154
1,167,158
1,168,150
1,169,162
1,170,171
1,171,185
