Line,Band,Value
1,1,159
1,2,202
1,3,169
1,4,191
1,5,162
1,6,224
1,7,185
1,8,277
1,9,334
1,10,205
1,11,184
1,12,206
1,13,195
1,14,209
1,15,182
1,16,212
1,17,171
1,18,205
1,19,173
1,20,215
1,21,161
1,22,203
1,23,1019
1,24,205
1,25,174
1,26,204
1,27,187
1,28,398
1,29,179
1,30,228
1,31,180
1,32,215
1,33,170
1,34,226
1,35,205
1,36,200
1,37,187
1,38,257
1,39,175
1,40,223
1,41,177
1,42,213
1,43,174
1,44,198
1,45,177
1,46,174
1,47,138
1,48,161
1,49,156
1,50,158
1,51,233
1,52,169
1,53,157
1,54,155
1,55,137
1,56,156
1,57,135
1,58,152
1,59,205
1,60,156
1,61,153
1,62,158
1,63,129
1,64,177
1,65,134
1,66,147
1,67,146
1,68,167
1,69,127
1,70,153
1,71,224
1,72,243
1,73,191
1,74,157
1,75,143
1,76,160
1,77,187
1,78,155
1,79,145
1,80,157
1,81,145
1,82,140
1,83,150
1,84,138
1,85,134
1,86,150
1,87,153
1,88,167
1,89,139
1,90,150
1,91,147
1,92,171
1,93,149
1,94,140
1,95,153
1,96,137
1,97,172
1,98,137
1,99,150
1,100,158
1,101,144
1,102,136
1,103,170
1,104,149
1,105,144
1,106,130
1,107,141
1,108,143
1,109,139
1,110,134
1,111,143
1,112,140
1,113,135
1,114,178
1,115,153
1,116,134
1,117,133
1,118,137
1,119,145
1,120,137
1,121,130
1,122,139
1,123,123
1,124,161
1,125,126
1,126,146
1,127,131
1,128,149
1,129,113
1,130,115
1,131,109
1,132,109
1,133,114
1,134,93
1,135,128
1,136,78
1,137,109
1,138,106
1,139,123
1,140,99
1,141,110
1,142,87
1,143,730
1,144,226
1,145,136
1,146,97
1,147,117
1,148,133
1,149,118
1,150,112
1,151,118
1,152,109
1,153,128
1,154,106
1,155,143
1,156,120
1,157,136
1,158,127
1,159,136
1,160,148
1,161,134
1,162,123
1,163,150
1,164,123
1,165,129
1,166,126
1,167,130
1,168,126
1,169,133
1,170,144
1,171,147
1,172,129
1,173,141
1,174,138
1,175,136
1,176,128
1,177,144
1,178,134
1,179,882
1,180,128
1,181,153
1,182,128
1,183,166
1,184,142
1,185,164
1,186,120
1,187,145
1,188,137
1,189,162
1,190,121
1,191,163
1,192,127
1,193,156
1,194,119
1,195,163
1,196,125
1,197,167
1,198,160
1,199,151
1,200,135
1,201,165
1,202,135
1,203,158
1,204,122
1,205,171
1,206,129
1,207,171
1,208,127
